cell_type1	dataset
Fetal B cell_pool1	Fetal B cell	Fetal
Fetal B cell_pool2	Fetal B cell	Fetal
Fetal Cap mesenchyme_pool1	Fetal Cap mesenchyme	Fetal
Fetal Cap mesenchyme_pool2	Fetal Cap mesenchyme	Fetal
Fetal Cap mesenchyme_pool3	Fetal Cap mesenchyme	Fetal
Fetal Cap mesenchyme_pool4	Fetal Cap mesenchyme	Fetal
Fetal Cap mesenchyme_pool5	Fetal Cap mesenchyme	Fetal
Fetal Cap mesenchyme_pool6	Fetal Cap mesenchyme	Fetal
Fetal Cap mesenchyme_pool7	Fetal Cap mesenchyme	Fetal
Fetal Cap mesenchyme_pool8	Fetal Cap mesenchyme	Fetal
Fetal Cap mesenchyme_pool9	Fetal Cap mesenchyme	Fetal
Fetal Cap mesenchyme_pool10	Fetal Cap mesenchyme	Fetal
Fetal Cap mesenchyme_pool11	Fetal Cap mesenchyme	Fetal
Fetal Cap mesenchyme_pool12	Fetal Cap mesenchyme	Fetal
Fetal Cap mesenchyme_pool13	Fetal Cap mesenchyme	Fetal
Fetal Cap mesenchyme_pool14	Fetal Cap mesenchyme	Fetal
Fetal Cap mesenchyme_pool15	Fetal Cap mesenchyme	Fetal
Fetal Cap mesenchyme_pool16	Fetal Cap mesenchyme	Fetal
Fetal Cap mesenchyme_pool17	Fetal Cap mesenchyme	Fetal
Fetal Cap mesenchyme_pool18	Fetal Cap mesenchyme	Fetal
Fetal Cap mesenchyme_pool19	Fetal Cap mesenchyme	Fetal
Fetal Cap mesenchyme_pool20	Fetal Cap mesenchyme	Fetal
Fetal Cap mesenchyme_pool21	Fetal Cap mesenchyme	Fetal
Fetal Cap mesenchyme_pool22	Fetal Cap mesenchyme	Fetal
Fetal Cap mesenchyme_pool23	Fetal Cap mesenchyme	Fetal
Fetal Cap mesenchyme_pool24	Fetal Cap mesenchyme	Fetal
Fetal Cap mesenchyme_pool25	Fetal Cap mesenchyme	Fetal
Fetal Cap mesenchyme_pool26	Fetal Cap mesenchyme	Fetal
Fetal Cap mesenchyme_pool27	Fetal Cap mesenchyme	Fetal
Fetal Cap mesenchyme_pool28	Fetal Cap mesenchyme	Fetal
Fetal Cap mesenchyme_pool29	Fetal Cap mesenchyme	Fetal
Fetal CD4 T cell_pool1	Fetal CD4 T cell	Fetal
Fetal CD4 T cell_pool2	Fetal CD4 T cell	Fetal
Fetal CD4 T cell_pool3	Fetal CD4 T cell	Fetal
Fetal cDC2_pool1	Fetal cDC2	Fetal
Fetal cDC2_pool2	Fetal cDC2	Fetal
Fetal cDC2_pool3	Fetal cDC2	Fetal
Fetal cDC2_pool4	Fetal cDC2	Fetal
Fetal cDC2_pool5	Fetal cDC2	Fetal
Fetal CNT/PC - proximal UB_pool1	Fetal CNT/PC - proximal UB	Fetal
Fetal CNT/PC - proximal UB_pool2	Fetal CNT/PC - proximal UB	Fetal
