cell_type1	dataset	is_endo	is_epit
bladder basal cell of urothelium_pool1	bladder basal cell of urothelium	bladder	no	no
bladder bladder cell_pool1	bladder bladder cell	bladder	no	no
bladder bladder cell_pool2	bladder bladder cell	bladder	no	no
bladder bladder cell_pool3	bladder bladder cell	bladder	no	no
bladder bladder cell_pool4	bladder bladder cell	bladder	no	no
bladder bladder cell_pool5	bladder bladder cell	bladder	no	no
bladder bladder cell_pool6	bladder bladder cell	bladder	no	no
bladder mesenchymal cell_pool1	bladder mesenchymal cell	bladder	no	no
bladder mesenchymal cell_pool2	bladder mesenchymal cell	bladder	no	no
bladder mesenchymal cell_pool3	bladder mesenchymal cell	bladder	no	no
bladder mesenchymal cell_pool4	bladder mesenchymal cell	bladder	no	no
bladder mesenchymal cell_pool5	bladder mesenchymal cell	bladder	no	no
bladder mesenchymal cell_pool6	bladder mesenchymal cell	bladder	no	no
bladder mesenchymal cell_pool7	bladder mesenchymal cell	bladder	no	no
bladder mesenchymal cell_pool8	bladder mesenchymal cell	bladder	no	no
brainmicroglia microglial cell_pool1	brainmicroglia microglial cell	brainmicroglia	no	no
brainmicroglia microglial cell_pool2	brainmicroglia microglial cell	brainmicroglia	no	no
brainmicroglia microglial cell_pool3	brainmicroglia microglial cell	brainmicroglia	no	no
brainmicroglia microglial cell_pool4	brainmicroglia microglial cell	brainmicroglia	no	no
brainmicroglia microglial cell_pool5	brainmicroglia microglial cell	brainmicroglia	no	no
brainmicroglia microglial cell_pool6	brainmicroglia microglial cell	brainmicroglia	no	no
brainmicroglia microglial cell_pool7	brainmicroglia microglial cell	brainmicroglia	no	no
brainmicroglia microglial cell_pool8	brainmicroglia microglial cell	brainmicroglia	no	no
brainmicroglia microglial cell_pool9	brainmicroglia microglial cell	brainmicroglia	no	no
brainmicroglia microglial cell_pool10	brainmicroglia microglial cell	brainmicroglia	no	no
brainmicroglia microglial cell_pool11	brainmicroglia microglial cell	brainmicroglia	no	no
brainmicroglia microglial cell_pool12	brainmicroglia microglial cell	brainmicroglia	no	no
brainmicroglia microglial cell_pool13	brainmicroglia microglial cell	brainmicroglia	no	no
brainmicroglia microglial cell_pool14	brainmicroglia microglial cell	brainmicroglia	no	no
brainmicroglia microglial cell_pool15	brainmicroglia microglial cell	brainmicroglia	no	no
brainmicroglia microglial cell_pool16	brainmicroglia microglial cell	brainmicroglia	no	no
brainmicroglia microglial cell_pool17	brainmicroglia microglial cell	brainmicroglia	no	no
