cell_type1
Ex23_Cntn2_pool1	Ex23_Cntn2
Ex23_Cux1_pool1	Ex23_Cux1
Ex23_Cux1_pool2	Ex23_Cux1
Ex23_Cux1_pool3	Ex23_Cux1
Ex23_Cux1_pool4	Ex23_Cux1
Ex23_Cux1_pool5	Ex23_Cux1
Ex345_Foxp1_pool1	Ex345_Foxp1
Ex345_Foxp1_pool2	Ex345_Foxp1
Ex345_Foxp1_pool3	Ex345_Foxp1
Ex345_Foxp1_pool4	Ex345_Foxp1
Ex4_Tenm3_pool1	Ex4_Tenm3
Ex4_Tenm3_pool2	Ex4_Tenm3
Ex4_Tenm3_pool3	Ex4_Tenm3
Ex4_Tenm3_pool4	Ex4_Tenm3
Ex45_Galntl6_pool1	Ex45_Galntl6
Ex45_Galntl6_pool2	Ex45_Galntl6
Ex45_Galntl6_pool3	Ex45_Galntl6
Ex45_Galntl6_pool4	Ex45_Galntl6
Ex5_Crmp1_pool1	Ex5_Crmp1
Ex5_Crmp1_pool2	Ex5_Crmp1
Ex5_Crmp1_pool3	Ex5_Crmp1
Ex5_Crmp1_pool4	Ex5_Crmp1
Ex56_Epha6_pool1	Ex56_Epha6
Ex56_Epha6_pool2	Ex56_Epha6
Ex6_Tle4_pool1	Ex6_Tle4
Ex6_Tle4_pool2	Ex6_Tle4
Ex6_Tle4_pool3	Ex6_Tle4
Ex6_Tle4_pool4	Ex6_Tle4
Ex6_Tle4_pool5	Ex6_Tle4
In_1_pool1	In_1
In_1_pool2	In_1
In_2_pool1	In_2
In_2_pool2	In_2
